                                                             External penalty method                                                             
    c_x        c_y        H(c)        r      dir     c_x        c_y         f(c)         n_x         n_y         f(n)         hx          hy      
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -1.3707e+00  9.2248e-01   1.0015e+03        -//- -1.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  6.2927e-01  9.2248e-01   7.9772e+02  1.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01 -7.7513e-02   3.7020e+02  5.0000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  1.9225e+00   1.3895e+03        -//-  1.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.2927e-01  9.2248e-01   1.6988e+02        -//-  5.0000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.7072e-01  9.2248e-01   2.7086e+02 -5.0000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  1.4225e+00   2.4946e+02 -2.5000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  4.2249e-01   1.8139e+02        -//- -5.0000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -6.2073e-01  9.2248e-01   1.0932e+02        -//- -2.5000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -1.2073e-01  9.2248e-01   5.8947e+01  2.5000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  6.7249e-01   9.3478e+01  1.2500e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  1.1725e+00   7.2314e+01        -//-  2.5000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -2.4573e-01  9.2248e-01   3.9586e+01        -//-  1.2500e-01 
       -//-       -//-       -//-       -//-   x -2.4573e-01 9.2248e-01   3.9586e+01 -1.2073e-01  9.2248e-01   5.8947e+01        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -2.4573e-01  1.0475e+00   4.4302e+01  6.2498e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -2.4573e-01  7.9748e-01   5.5368e+01        -//- -1.2500e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -1.8323e-01  9.2248e-01   4.6504e+01        -//- -6.2498e-02 
