                                                             Step splitting method                                                              
   cur_x        cur_y      f(cur)    grad f(cur) x grad f(cur) y    next_x       next_y      f(next)   grad f(next) x grad f(next) y    alpha    
-3.00000e-01 8.00000e-01 3.07293e+00   1.28776e+01  -1.60277e+01 -3.00000e-01  8.00000e-01 3.07293e+00    1.28776e+01   -1.60277e+01 0.00000e+00 
        -//-        -//-        -//-          -//-          -//- -3.66568e-01  8.96855e-01 5.26599e-01           -//-           -//- 9.76562e-04 
        -//-        -//-        -//-          -//-          -//- -3.73728e-01  9.05718e-01 2.64538e-01           -//-           -//- 4.88281e-04 
        -//-        -//-        -//-          -//-          -//- -3.77308e-01  9.10149e-01 1.32560e-01           -//-           -//- 2.44141e-04 
        -//-        -//-        -//-          -//-          -//- -3.79098e-01  9.12365e-01 6.63327e-02           -//-           -//- 1.22070e-04 
        -//-        -//-        -//-          -//-          -//- -3.79993e-01  9.13473e-01 3.31594e-02           -//-           -//- 6.10352e-05 
        -//-        -//-        -//-          -//-          -//- -3.80441e-01  9.14026e-01 1.65579e-02           -//-           -//- 3.05176e-05 
        -//-        -//-        -//-          -//-          -//- -3.80665e-01  9.14303e-01 8.25340e-03           -//-           -//- 1.52588e-05 
        -//-        -//-        -//-          -//-          -//- -3.80777e-01  9.14442e-01 4.10022e-03           -//-           -//- 7.62939e-06 
        -//-        -//-        -//-          -//-          -//- -3.80833e-01  9.14511e-01 2.02340e-03           -//-           -//- 3.81470e-06 
        -//-        -//-        -//-          -//-          -//- -3.80861e-01  9.14546e-01 9.84929e-04           -//-           -//- 1.90735e-06 
        -//-        -//-        -//-          -//-          -//- -3.80875e-01  9.14563e-01 4.65679e-04           -//-           -//- 9.53674e-07 
        -//-        -//-        -//-          -//-          -//- -3.80882e-01  9.14572e-01 2.06050e-04           -//-           -//- 4.76837e-07 
        -//-        -//-        -//-          -//-          -//- -3.80885e-01  9.14576e-01 7.62352e-05           -//-           -//- 2.38419e-07 
        -//-        -//-        -//-          -//-          -//- -3.80887e-01  9.14578e-01 1.13274e-05           -//-           -//- 1.19209e-07 
                                      Results                                       
       Method              x            y      calls to f(x, y) calls to grad f(x,y) 
Step splitting method -3.80887e-01 9.14578e-01              104                    7 
